"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","16","7","8","1","36.623791","0","8"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","16","5","5","1","20.097517","0","5"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","16","5","5","1","20.276232","0","5"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","16","18","20","1","91.612595","0","20"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","16","7","8","1","20.922827","0","8"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","16","7","7","1","15.107465","0","7"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","16","4","4","1","17.150686","0","4"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","16","27","29","1","124.566811","0","29"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","16","4","4","1","9.026740","0","4"
"/Engine/EditorMaterials/Dataflow/DataflowTwoSidedVertexMaterial.DataflowTwoSidedVertexMaterial","16","32","34","1","80.545837","0","34"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","16","26","26","1","64.115440","0","26"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","16","67","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","16","10","11","1","29.849955","0","11"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","16","62","65","1","172.235062","0","65"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","16","94","100","1","282.508331","0","100"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","16","62","65","1","0.000000","0","65"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","16","12","14","1","41.678936","0","14"
"/Engine/VREditor/TransformGizmo/Xray.Xray","16","14","14","1","43.072624","0","14"
"/Engine/VREditor/TransformGizmo/Main.Main","16","5","5","1","11.455191","0","5"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","16","5","5","1","17.295488","0","5"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","16","5","5","1","8.788969","0","5"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","16","26","26","1","81.056999","0","26"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","16","47","47","1","0.000000","0","47"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","16","35","35","1","97.147484","0","35"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","16","35","35","1","110.072182","0","35"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","16","56","56","1","71.413567","0","56"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","16","28","28","1","85.940277","0","28"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","16","12","12","1","42.872089","0","12"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","16","44","50","2","155.809952","0","50"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","16","10","11","1","31.637756","0","11"
"/ControlRig/M_Manip.M_Manip","16","10","11","1","29.386019","0","11"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","16","4","4","1","10.348421","0","4"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","16","5","5","1","8.527163","0","5"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","16","57","58","6","127.419708","0","58"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","16","94","100","1","283.328339","0","100"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","16","98","98","1","798.957764","0","98"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","16","7","7","1","0.000000","0","7"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","16","87","87","1","0.000000","0","87"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","16","127","127","1","203.540512","0","127"
